,KERATEA,GRAMATIKO,OINOI,OINOFYTA,PETRA ,EDESSA,DORKAS,PALAIOKOMI,DRAMA ,XANTHI
PIRAEUS_PORT,47,49,45,64,97,537,549,611,645,708
KERAMOTI_PORT,716,675,638,644,605,258,185,108,81,42
RAFINA_PORT,34,26,72,64,125,545,557,619,653,716
PERAMA_PORT,60,53,44,67,96,548,560,621,655,720
