,SKARAMANGAS,SCHISTO,ELEONAS,ELEFSINA,LAVRIO,THIVA,KATO_MILIA,VERIA,DIAVATA,KAVALA,VAGIOCHORI,NEA_KAVALA
PIRAEUS_PORT,13,8,10,28,78,75,458,514,509,670,555,536
KERAMOTI_PORT,699,703,691,708,738,611,276,261,196,36.1,148,240
RAFINA_PORT,47,50,35,57,55,99,466,522,517,679,563,544
PERAMA_PORT,12,8,15,27,60,71,469,525,520,680,558,546
